#id;name;population;longitude;latitude
501417;Zemianska Olča;2332;17.8853973113989;47.8291265455654
501425;Zlatná na Ostrove;2370;17.9639355818104;47.7746432926969
501433;Dunajská Streda;22643;17.6326717408671;48.0156721637666
501441;Báč;568;17.3771759142177;48.0079657584597
501450;Baka;1096;17.5216921961451;47.8922730347698
501468;Baloň;753;17.6559984624561;47.8431420855272
501484;Blahová;368;17.5545080624577;48.0943342992235
501492;Blatná na Ostrove;903;17.4411843842445;48.001212517665
501506;Boheľov;355;17.6977080252423;47.9055536543509
501514;Čakany;639;17.3748327881656;48.1158033535436
501522;Veľký Meder;8650;17.7504937529501;47.8581761199382
501531;Čiližská Radvaň;1162;17.7075658220409;47.8320001376428
501549;Dobrohošť;496;17.3632285460539;47.9870926833911
501557;Dolný Bar;695;17.7044135755466;47.9661587345534
501573;Gabčíkovo;5391;17.5838284575518;47.8760188367789
501581;Holice;2003;17.4790394265411;47.9900410241121
501590;Horná Potôň;2010;17.5310604598769;48.0590224029068
501603;Horný Bar;1222;17.463079562391;47.946376772387
501611;Dolný Štál;1907;17.7387371423637;47.9352756436959
501620;Hubice;606;17.3995400438353;48.0962159513003
501638;Hviezdoslavov;1577;17.3570078076097;48.071751700434
501654;Jahodná;1564;17.7202234612569;48.0471640421651
501662;Janíky;913;17.4041750673228;48.1440560226506
501671;Jurová;463;17.5288590871156;47.9354280303116
501689;Kľúčovec;363;17.7111242571297;47.7875879007885
501697;Kostolné Kračany;1347;17.5764230082404;47.9700988696918
501701;Kráľovičove Kračany;1056;17.549329942329;47.980377454461
501719;Kútniky;1413;17.6683622253829;47.9774305219447
501727;Kvetoslavov;1430;17.3399331525306;48.051885289629
501735;Lehnice;2657;17.4621005470207;48.0564389301009
501743;Lúč na Ostrove;716;17.5134263614234;47.9656771862014
501760;Medveďov;531;17.6741525203772;47.7986229815314
501778;Mierovo;445;17.3929392317003;48.0654591747928
501786;Michal na Ostrove;965;17.543256598553;48.0437635482887
501808;Nový Život;2215;17.4842316481611;48.1145094602008
501816;Ohrady;1340;17.7078576602499;48.00335858433
501824;Okoč;3579;17.8212298023236;47.9129964495264
501832;Oľdza;498;17.4240478676729;48.083046248599
501859;Orechová Potôň;1698;17.5747680228204;48.0477407903537
501867;Padáň;900;17.6729710817637;47.9169682463905
501875;Sap;518;17.6067733847196;47.8218992303833
501883;Pataš;803;17.6662496989296;47.8699681479306
501891;Rohovce;1206;17.4184594182516;47.9777880333538
501905;Šamorín;13324;17.3133757011473;48.0199549805583
501913;Štvrtok na Ostrove;1758;17.3441817694303;48.1020929262388
501921;Topoľníky;3089;17.8091578014382;47.9656546613546
501930;Ňárad;632;17.6262907899213;47.8347189118427
501956;Trnávka;495;17.4049363564408;48.0170262214411
501964;Trstená na Ostrove;576;17.5062550958276;47.9204041811618
501972;Veľká Paka;964;17.3997880986239;48.0535726365544
501981;Veľké Blahovo;1586;17.5962081430587;48.0402269699628
501999;Vojka nad Dunajom;475;17.400041306336;47.9589816763479
502006;Vrakúň;2666;17.6125295653642;47.9282008836319
502014;Vydrany;1695;17.6241116765244;48.0438817081579
502022;Zlaté Klasy;3614;17.4386142615017;48.1311830237187
502031;Levice;33332;18.6518777329243;48.2062395092825
502049;Bajka;321;18.5054898622034;48.1545210414355
502057;Bátovce;1148;18.7761173029056;48.2863586386116
502065;Beša;638;18.4051624273695;48.1493144310624
502073;Bielovce;224;18.7646372648756;47.9944054752733
502090;Bory;315;18.7522191127897;48.1917039595383
502103;Brhlovce;305;18.7390320525278;48.2213392515558
502111;Čajkov;969;18.6130514207842;48.3137917821522
502120;Čaka;738;18.473095822218;48.0389835136732
502154;Demandice;963;18.7892897547837;48.1221458966707
502162;Devičany;381;18.687419989222;48.3254459197314
